date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:03	322126/322126	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:01%20GMT	https://www.exportersindia.com/indian-suppliers/steel-sink.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/steel-sink.html	(from https://www.exportersindia.com/)
12:42:03	3162/3162	---M--	200	added ('OK')	image/jpeg	etag:%22c5a-5f20b752d285e%22	https://img1.exportersindia.com/final_catg_image/13995-105-home.jpg	C:/Users/deepa/Desktop/export_project/img1.exportersindia.com/final_catg_image/13995-105-home.jpg	(from https://www.exportersindia.com/)
12:42:04	324949/324949	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:03%20GMT	https://www.exportersindia.com/indian-manufacturers/pipe-tube-fittings.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-manufacturers/pipe-tube-fittings.html	(from https://www.exportersindia.com/)
12:42:05	522672/522672	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:04%20GMT	https://www.exportersindia.com/indian-suppliers/industrial-coupler.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/industrial-coupler.html	(from https://www.exportersindia.com/)
12:42:08	389416/389416	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:06%20GMT	https://www.exportersindia.com/indian-suppliers/forged-pipe-fittings.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/forged-pipe-fittings.html	(from https://www.exportersindia.com/)
12:42:18	369665/369665	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:07%20GMT	https://www.exportersindia.com/indian-suppliers/forged-steel-fittings.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/forged-steel-fittings.html	(from https://www.exportersindia.com/)
12:42:21	323072/323072	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:16%20GMT	https://www.exportersindia.com/indian-suppliers/thermowell.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/thermowell.html	(from https://www.exportersindia.com/)
12:42:21	4184/4184	---M--	200	added ('OK')	image/jpeg	etag:%221058-5f20b12074085%22	https://img1.exportersindia.com/final_catg_image/10689-243-home.jpg	C:/Users/deepa/Desktop/export_project/img1.exportersindia.com/final_catg_image/10689-243-home.jpg	(from https://www.exportersindia.com/)
12:42:23	4946/4946	---M--	200	added ('OK')	image/gif	etag:%221352-59feeaab8e72d%22	https://static.exportersindia.com/ei_images/banners/matrimonial.gif	C:/Users/deepa/Desktop/export_project/static.exportersindia.com/ei_images/banners/matrimonial.gif	(from https://www.exportersindia.com/)
12:42:24	4839/4839	---M--	200	added ('OK')	image/gif	etag:%2212e7-59feeaac9950c%22	https://static.exportersindia.com/ei_images/banners/placement.gif	C:/Users/deepa/Desktop/export_project/static.exportersindia.com/ei_images/banners/placement.gif	(from https://www.exportersindia.com/)
12:42:24	4789/4789	---M--	200	added ('OK')	image/gif	etag:%2212b5-59feeaab65ac8%22	https://static.exportersindia.com/ei_images/banners/realesateindia.gif	C:/Users/deepa/Desktop/export_project/static.exportersindia.com/ei_images/banners/realesateindia.gif	(from https://www.exportersindia.com/)
12:42:24	5785/5785	---M--	200	added ('OK')	image/gif	etag:%221699-59feeaabb600a%22	https://static.exportersindia.com/ei_images/banners/tourtravelworld.gif	C:/Users/deepa/Desktop/export_project/static.exportersindia.com/ei_images/banners/tourtravelworld.gif	(from https://www.exportersindia.com/)
12:42:24	19547/19547	---M--	200	added ('OK')	image/jpeg	etag:%224c5b-5e6809c5cdb5f%22	https://img1.exportersindia.com/final_catg_image/11132-396.jpg	C:/Users/deepa/Desktop/export_project/img1.exportersindia.com/final_catg_image/11132-396.jpg	(from https://www.exportersindia.com/)
12:42:26	410838/410838	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:24%20GMT	https://www.exportersindia.com/indian-manufacturers/nutraceutical-supplements.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-manufacturers/nutraceutical-supplements.html	(from https://www.exportersindia.com/)
12:42:27	216339/216339	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:25%20GMT	https://www.exportersindia.com/indian-manufacturers/sexual-wellness-products.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-manufacturers/sexual-wellness-products.html	(from https://www.exportersindia.com/)
12:42:28	421325/421325	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:27%20GMT	https://www.exportersindia.com/indian-manufacturers/pharmaceuticals-biotechnology.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-manufacturers/pharmaceuticals-biotechnology.html	(from https://www.exportersindia.com/)
12:42:29	661557/661557	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:27%20GMT	https://www.exportersindia.com/indian-manufacturers/medicines.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-manufacturers/medicines.html	(from https://www.exportersindia.com/)
12:42:30	506665/506665	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:28%20GMT	https://www.exportersindia.com/indian-suppliers/eye-drops.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/eye-drops.html	(from https://www.exportersindia.com/)
12:42:32	515812/515812	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:30%20GMT	https://www.exportersindia.com/indian-suppliers/pharmaceutical-ointment.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/pharmaceutical-ointment.html	(from https://www.exportersindia.com/)
12:42:33	249595/249595	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:31%20GMT	https://www.exportersindia.com/indian-suppliers/allopathic-medicines.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/allopathic-medicines.html	(from https://www.exportersindia.com/)
12:42:34	554144/554144	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202024%2007:12:32%20GMT	https://www.exportersindia.com/indian-suppliers/pharmaceutical-syrups.htm	C:/Users/deepa/Desktop/export_project/www.exportersindia.com/indian-suppliers/pharmaceutical-syrups.html	(from https://www.exportersindia.com/)
12:42:34	5390/5390	---M--	200	added ('OK')	image/jpeg	etag:%22150e-5f1e53337c03d%22	https://img1.exportersindia.com/final_catg_image/13018-1-home.jpg	C:/Users/deepa/Desktop/export_project/img1.exportersindia.com/final_catg_image/13018-1-home.jpg	(from https://www.exportersindia.com/)
